"Name","toi","vmag","ra","dec","vsini","mass","num_nights","num_nights_hires_j","num_nights_apf","last_observed","last_observed_apf","last_observed_hires_j"
"39688","480","7.28","5.8919167","-16.264806","8.5851998413","1.27615636696","9","9","null","128","null","128"
"73583","560","9.67","8.6459167","-13.256778","3.26653163415","0.714713816503","14","14","null","170","null","170"
"T001134","1134","9.55","19.334731","36.6375","6.1395889584","1.10992501279","4","1","3","220","262","220"
"HIP62908","1135","9.54","12.893","85.129472","11.1756681543","1.18024033719","34","1","34","180","180","231"
"KELT-24","1148","8.238","10.79394","71.65573","null","null","0","null","null","null","null","null"
"T001154","1154","9.96","16.994936","64.699167","5.5837284769","1.00839485281","15","9","9","228","228","241"
"T001175","1175","10.64","19.282581","31.323333","4.76217764599","1.12262987214","7","7","null","121","null","121"
"T001179","1179","10.88","12.470394","67.24","3.5153431195","0.828023297358","2","1","1","231","251","231"
"T001199","1199","11.09","11.125378","61.3525","2.17017147664","1.23537973761","1","1","null","212","null","212"
"T001238","1238","null","13.425489","68.835833","3.74755428408","0.597690381987","1","1","null","155","null","155"
"T001239","1239","11.63","10.534086","84.030278","3.40802268535","0.862319728266","2","2","null","187","null","187"
"T001254","1254","11.284","15.94676","65.88884","null","null","0","null","null","null","null","null"
"T001260","1260","null","10.476272","65.854167","3.553201312835","0.6657954189465","3","3","null","206","null","206"
"T001268","1268","10.92","13.225947","62.305278","3.37515783834","0.957688493171","1","null","1","246","246","null"
"T001274","1274","null","16.987744","65.747222","3.01251565201","0.829627760642","1","1","null","224","null","224"
"T001277","1277","10.37","11.516519","66.796389","2.03826157065","0.927368614055","6","4","2","187","251","187"
"196603","1287","9.16","20.583175","63.474722","3.02981368499","1.09316626655","39","9","31","36","36","36"
"T001291","1291","11.52","16.387867","62.925","5.08261142329","1.39575770437","1","1","null","121","null","121"
"T001298","1298","11.89","16.088194","70.19","3.54237634663","1.32511191836","3","3","null","11","null","11"
"T001312","1312","10.59","20.104175","52.164167","7.76533729689","1.13721371078","2","1","1","220","250","220"
"T001314","1314","10.75","21.183194","43.551667","4.49309281314","1.14313364644","2","1","1","220","252","220"
"T001316","1316","10.73","20.467778","39.876944","4.7032517857","1.35753129791","1","null","1","248","248","null"
"T001328","1328","10.87","21.007361","46.060278","11.8350162642","1.3412339392","1","null","1","250","250","null"
"T001329","1329","10.55","21.832006","44.08","94.782665201","null","1","null","1","252","252","null"
"T001367","1367","9.71","22.930242","39.645","12.2751760205","1.16359889441","7","7","null","231","null","231"
"HTR145-001","1419","11.4","13.739606","48.028667","2.84541221955","0.920265727107","29","6","null","3690","null","3719"
"T001494","1494","10.81","1.2663528","21.616667","15.346709232","1.30196494339","1","1","null","212","null","212"
"T001515","1515","11.34","23.824539","61.682778","2.39451177949","1.07483056535","1","1","null","212","null","212"
"T001516","1516","10.86","22.672308","69.503611","10.3799567085","1.18265284604","1","1","null","212","null","212"
"T001534","1534","10.47","0.40497778","57.881667","3.24530372493","1.31110520608","1","1","null","212","null","212"
"T001547","1547","11.11","23.696792","37.186389","3.033953481455","1.109819456645","9","9","null","27","null","27"
"T001563","1563","null","2.5873472","48.273611","3.93867807313","0.771625014338","1","1","null","194","null","194"
"T001567","1567","null","3.3563917","52.691944","2.51540270674","0.772966895839","1","1","null","194","null","194"
"T001571","1571","10.76","3.5399306","50.498889","19.3066422126","1.3375503236","1","1","null","184","null","184"
"T001597","1597","10.78","2.9601194","40.016667","2.85522817515","1.11237873554","4","4","null","135","null","135"
"T001598","1598","9.14","1.9106889","37.005","7.93270330284","1.100964773425","2","2","null","184","null","184"
"20891","1608","7.96","3.3866861","33.078528","43.5717631458","1.50827422005","1","1","null","195","null","195"
"T001622","1622","9.92","21.203319","68.052222","0.685612402311","0.890034697901","1","1","null","195","null","195"
"T001645","1645","9.72","2.1529417","40.401667","29.5469561999","1.22586966079","1","1","null","161","null","161"
"232911","1656","9.09","4.2153333","53.686944","6.6927713254","1.11450034333","1","1","null","160","null","160"
"T001657","1657","10.29","4.424675","46.365833","1.37841173347","0.814798390457","3","3","null","134","null","134"
"T001672","1672","10.55","6.1248028","66.8575","18.9326083062","1.11514531599","1","1","null","155","null","155"
"283636","1683","10.97","4.3986528","27.822639","3.83300443045","0.690785937781","1","1","null","159","null","159"
"T001169","null","11.019","8.94134","72.53328","null","null","1","1","null","133","null","133"
"TIC40085745","null","10.02","0.51053611","-11.4125","3.55931033291","0.928236780858","4","4","null","195","null","195"
"TIC410742766","null","8.53","3.4964139","49.153611","44.7011235405","3.27754288449","1","1","null","135","null","135"
